nome,ultima_escala_preta,ultima_escala_vermelha,disponibilidade
11,2024-09-02,2024-09-07,"[1, 2, 3, 4, 5, 6, 7]"
12,2024-09-03,2024-09-08,"[1, 2, 3, 4, 5, 6, 7]"
13,2024-09-04,2024-09-14,"[1, 2, 3, 4, 5, 6, 7]"
14,2024-09-05,2024-09-15,"[1, 2, 3, 4, 5, 6, 7]"
15,2024-09-06,2024-09-21,"[1, 2, 3, 4, 5, 6, 7]"
16,2024-09-09,2024-09-22,"[1, 2, 3, 4, 5, 6, 7]"
17,2024-09-10,2024-09-28,"[1, 2, 3, 4, 5, 6, 7]"
18,2024-09-11,2024-09-29,"[1, 2, 3, 4, 5, 6, 7]"
19,2024-09-12,2024-09-30,"[1, 2, 3, 4, 5, 6, 7]"
20,2024-09-02,2024-09-07,"[1, 2, 3, 4, 5, 6, 7]"
21,2024-09-03,2024-09-08,"[1, 2, 3, 4, 5, 6, 7]"
22,2024-09-04,2024-09-14,"[1, 2, 3, 4, 5, 6, 7]"
23,2024-09-05,2024-09-15,"[1, 2, 3, 4, 5, 6, 7]"
24,2024-09-06,2024-09-21,"[1, 2, 3, 4, 5, 6, 7]"
25,2024-09-09,2024-09-22,"[1, 2, 3, 4, 5, 6, 7]"
26,2024-09-10,2024-09-28,"[1, 2, 3, 4, 5, 6, 7]"
27,2024-09-11,2024-09-29,"[1, 2, 3, 4, 5, 6, 7]"
28,2024-09-02,2024-09-07,"[1, 2, 3, 4, 5, 6, 7]"
29,2024-09-03,2024-09-08,"[1, 2, 3, 4, 5, 6, 7]"
30,2024-09-04,2024-09-14,"[1, 2, 3, 4, 5, 6, 7]"
31,2024-09-05,2024-09-15,"[1, 2, 3, 4, 5, 6, 7]"
32,2024-09-06,2024-09-21,"[1, 2, 3, 4, 5, 6, 7]"
33,2024-09-09,2024-09-22,"[1, 2, 3, 4, 5, 6, 7]"
34,2024-09-10,2024-09-28,"[1, 2, 3, 4, 5, 6, 7]"
35,2024-09-11,2024-09-29,"[1, 2, 3, 4, 5, 6, 7]"
36,2024-09-02,2024-09-07,"[1, 2, 3, 4, 5, 6, 7]"
37,2024-09-03,2024-09-08,"[1, 2, 3, 4, 5, 6, 7]"
38,2024-09-04,2024-09-14,"[1, 2, 3, 4, 5, 6, 7]"
39,2024-09-05,2024-09-15,"[1, 2, 3, 4, 5, 6, 7]"
40,2024-09-06,2024-09-21,"[1, 2, 3, 4, 5, 6, 7]"
