nome,ultima_escala_preta,ultima_escala_vermelha,disponibilidade
1,2024-09-02,2024-09-07,"[0, 1, 2, 3, 4, 5, 6]"
2,2024-09-03,2024-09-08,"[0, 1, 2, 3, 4, 5, 6]"
3,2024-09-04,2024-09-14,"[0, 1, 2, 3, 4, 5, 6]"
4,2024-09-05,2024-09-15,"[0, 1, 2, 3, 4, 5, 6]"
7,2024-09-10,2024-09-28,"[0, 1, 2, 3, 4, 5, 6]"
5,2024-09-06,2024-09-21,"[0, 1, 2, 3, 4, 5, 6]"
6,2024-09-09,2024-09-22,"[0, 1, 2, 3, 4, 5, 6]"
8,2024-09-11,2024-09-29,"[0, 1, 2, 3, 4, 5, 6]"
9,2024-09-12,2024-09-30,"[0, 1, 2, 3, 4, 5, 6]"
10,2024-09-02,2024-08-29,"[0, 1, 2, 3, 4, 5, 6]"
